Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross,Predicted_Gross,Rating_Score
Into the Wild,2007.0,R,148,"Adventure, Biography, Drama",8.1,73.0,572921,18354356.0,110878688.46416008,7.699999999999999
No Country for Old Men,2007.0,R,122,"Crime, Drama, Thriller",8.1,91.0,856916,74283625.0,178829375.75914478,8.6
Lage Raho Munna Bhai,2006.0,U,144,"Comedy, Drama, Romance",8.1,77.97153024911032,43137,2217561.0,-15881243.63987732,7.948576512455515
Million Dollar Baby,2004.0,UA,132,"Drama, Sport",8.1,86.0,635975,100492203.0,125965442.2334094,8.35
Hotel Rwanda,2004.0,PG-13,121,"Biography, Drama, History",8.1,79.0,334320,23530892.0,53789296.25911915,8.0
Taegukgi hwinalrimyeo,2004.0,R,140,"Action, Drama, War",8.1,64.0,37820,1111061.0,-17153427.32039082,7.25
Before Sunset,2004.0,R,80,"Drama, Romance",8.1,90.0,236311,5820649.0,30338957.65775585,8.55
Salinui chueok,2003.0,UA,131,"Crime, Drama, Mystery",8.1,82.0,139558,14131.0,7189138.654422641,8.149999999999999
Dil Chahta Hai,2001.0,Unrated,183,"Comedy, Drama, Romance",8.1,77.97153024911032,66803,300000.0,-10218746.182094216,7.948576512455515
Kill Bill: Vol. 1,2003.0,R,111,"Action, Crime, Drama",8.1,69.0,1000639,70099045.0,213217574.9531343,7.5
Finding Nemo,2003.0,U,100,"Animation, Adventure, Comedy",8.1,90.0,949565,380843261.0,200997242.19057143,8.55
Catch Me If You Can,2002.0,A,141,"Biography, Crime, Drama",8.1,75.0,832846,164615351.0,173070214.35422468,7.8
Amores perros,2000.0,A,154,"Drama, Thriller",8.1,83.0,223741,5383834.0,27331369.00549805,8.2
"Monsters, Inc.",2001.0,U,92,"Animation, Adventure, Comedy",8.1,79.0,815505,289916256.0,168921081.91040587,8.0
Lagaan: Once Upon a Time in India,2001.0,U,224,"Adventure, Drama, Musical",8.1,84.0,105036,70147.0,-1070843.4818736317,8.25
The Sixth Sense,1999.0,A,107,"Drama, Mystery, Thriller",8.1,64.0,911573,293506292.0,191907002.8845588,7.25
La leggenda del pianista sull'oceano,1998.0,U,169,"Drama, Music, Romance",8.1,58.0,59020,259127.0,-12080962.767656922,6.949999999999999
The Truman Show,1998.0,U,103,"Comedy, Drama",8.1,90.0,939631,125618201.0,198620361.86666295,8.55
"Crna macka, beli macor",1998.0,R,127,"Comedy, Crime, Romance",8.1,73.0,50862,348660.0,-14032904.551675916,7.699999999999999
The Big Lebowski,1998.0,R,117,"Comedy, Crime, Sport",8.1,71.0,732620,17498804.0,149089420.3795873,7.6
Fa yeung nin wah,2000.0,U,98,"Drama, Romance",8.1,85.0,124383,2734044.0,3558258.956887841,8.3
Trainspotting,1996.0,A,93,Drama,8.1,83.0,634716,16501785.0,125664204.83379184,8.2
Fargo,1996.0,A,98,"Crime, Drama, Thriller",8.1,85.0,617444,24611975.0,121531581.82648908,8.3
La haine,1995.0,UA,98,"Crime, Drama",8.1,77.97153024911032,150345,309811.0,9770113.896419764,7.948576512455515
Before Sunrise,1995.0,R,101,"Drama, Romance",8.1,77.0,272291,5535405.0,38947791.365650535,7.9
Trois couleurs: Rouge,1994.0,U,99,"Drama, Mystery, Romance",8.1,100.0,90729,4043686.0,-4494039.253381491,9.05
Chung Hing sam lam,1994.0,U,102,"Comedy, Crime, Drama",8.1,77.0,63122,600200.0,-11099488.730142117,7.9
Jurassic Park,1993.0,UA,127,"Action, Adventure, Sci-Fi",8.1,68.0,867615,402453882.0,181389295.4879042,7.449999999999999
In the Name of the Father,1993.0,UA,133,"Biography, Crime, Drama",8.1,84.0,156842,25010410.0,11324632.868076086,8.25
Ba wang bie ji,1993.0,R,171,"Drama, Music, Romance",8.1,77.97153024911032,25088,5216888.0,-20199777.258381844,7.948576512455515
D脿 h贸ng denglong gaogao gu脿,1991.0,PG,125,"Drama, History, Romance",8.1,77.97153024911032,29662,2603061.0,-19105369.104409933,7.948576512455515
Dead Poets Society,1989.0,U,128,"Comedy, Drama",8.1,79.0,425457,95860116.0,75595390.69036973,8.0
Stand by Me,1986.0,U,89,"Adventure, Drama",8.1,75.0,363401,52287414.0,60747425.58261228,7.8
Platoon,1986.0,A,120,"Drama, War",8.1,92.0,381222,138530565.0,65011406.28045535,8.649999999999999
"Paris, Texas",1984.0,U,145,Drama,8.1,78.0,91188,2181987.0,-4384215.610470891,7.949999999999999
Kaze no tani no Naushika,1984.0,U,117,"Animation, Adventure, Fantasy",8.1,86.0,150924,495770.0,9908649.60283649,8.35
The Thing,1982.0,A,109,"Horror, Mystery, Sci-Fi",8.1,57.0,371271,13782838.0,62630458.41421688,6.9
Pink Floyd: The Wall,1982.0,UA,95,"Drama, Fantasy, Music",8.1,47.0,76081,22244207.0,-7998825.138685584,6.4
Fanny och Alexander,1982.0,A,188,Drama,8.1,100.0,57784,4971340.0,-12376697.021769166,9.05
Blade Runner,1982.0,UA,117,"Action, Sci-Fi, Thriller",8.1,84.0,693827,32868943.0,139807528.0496719,8.25
Life of Brian,1979.0,R,94,Comedy,8.1,77.0,367250,20045115.0,61668365.01956856,7.9
The Deer Hunter,1978.0,A,183,"Drama, War",8.1,86.0,311361,48979328.0,48295960.70882583,8.35
Rocky,1976.0,U,120,"Drama, Sport",8.1,70.0,518546,117235247.0,97868534.6879853,7.55
Zerkalo,1975.0,G,107,"Biography, Drama",8.1,77.97153024911032,40081,177345.0,-16612444.190497875,7.948576512455515
Chinatown,1974.0,UA,130,"Drama, Mystery, Thriller",8.1,92.0,294230,29000000.0,44197074.3761425,8.649999999999999
Paper Moon,1973.0,U,102,"Comedy, Crime, Drama",8.1,77.0,42285,30933743.0,-16085099.290770292,7.9
Viskningar och rop,1972.0,A,91,Drama,8.1,77.97153024911032,30206,1742348.0,-18975207.7498492,7.948576512455515
Le samoura茂,1967.0,GP,105,"Crime, Drama, Mystery",8.1,77.97153024911032,45434,39481.0,-15331646.89093256,7.948576512455515
Cool Hand Luke,1967.0,A,127,"Crime, Drama",8.1,92.0,161984,16217773.0,12554944.78930986,8.649999999999999
Andrei Rublev,1966.0,R,205,"Biography, Drama, History",8.1,77.97153024911032,46947,102021.0,-14969635.623560548,7.948576512455515
What Ever Happened to Baby Jane?,1962.0,Passed,134,"Drama, Horror, Thriller",8.1,75.0,50058,4050000.0,-14225275.37716639,7.8
